"shortName","lineCode","direction","lineDestinationMarker","lineOriginMarker","vehiclesQuantityLocalized","vs/0/prefix","vs/0/accessible","vs/0/localizedAt","vs/0/latitude","vs/0/longitude","vs/1/prefix","vs/1/accessible","vs/1/localizedAt","vs/1/latitude","vs/1/longitude","vs/2/prefix","vs/2/accessible","vs/2/localizedAt","vs/2/latitude","vs/2/longitude","vs/3/prefix","vs/3/accessible","vs/3/locatlizedAt","vs/3/latitude","vs/3/longitude","vs/4/prefix","vs/4/accessible","vs/4/localizedAt","vs/4/latitude","vs/4/longitude","vs/5/prefix","vs/5/accessible","vs/5/localizedAt","vs/5/latitude","vs/5/longitude"
"8600-22",34822,2,"LGO. DO PAISSANDÚ","VL. IÓRIO",1,11893,"true","2019-09-25T17:53:57Z",-23.4984783333333,-46.7457166666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8040-10",33174,2,"TERM. LAPA","SOL NASCENTE",1,11630,"true","2019-09-25T17:45:41Z",-23.5128416666667,-46.7389083333333,,,,,,,,,,,,,,,,,,,,,,,,,
"8009-31",1260,1,"TERM. PIRITUBA","CID. D'ABRIL 3ª GLEBA",1,11885,"true","2019-09-25T17:45:33Z",-23.498355,-46.7457883333333,,,,,,,,,,,,,,,,,,,,,,,,,
"948A-10",34191,2,"METRÔ BARRA FUNDA","VL. ZATT",1,11765,"true","2019-09-25T17:45:26Z",-23.49757,-46.7446983333333,,,,,,,,,,,,,,,,,,,,,,,,,
"8050-21",33181,2,"LAPA","ANHANGUERA",1,11011,"true","2019-09-25T17:45:31Z",-23.5128516666667,-46.7405316666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8594-10",432,1,"PÇA. RAMOS DE AZEVEDO","CID. D'ABRIL ",1,11847,"true","2019-09-25T17:54:22Z",-23.4984266666667,-46.7454316666667,,,,,,,,,,,,,,,,,,,,,,,,,
"958P-10",465,1,"VILA OLÍMPIA","JD. NARDINI",1,11521,"true","2019-09-25T17:54:12Z",-23.5132066666667,-46.7401316666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8677-10",443,1,"LGO. DO PAISSANDÚ","JD. LÍBANO",1,11681,"true","2019-09-25T17:45:31Z",-23.5126,-46.741535,,,,,,,,,,,,,,,,,,,,,,,,,
"8009-10",1259,1,"TERM. PIRITUBA","CID. D'ABRIL 3ª GLEBA",1,11311,"true","2019-09-25T17:54:09Z",-23.4983666666667,-46.7453016666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8686-10",446,1,"LGO. DO PAISSANDÚ","MANGALOT",3,11731,"true","2019-09-25T17:54:30Z",-23.4980833333333,-46.7454533333333,11415,"true","2019-09-25T17:54:32Z",-23.49759,-46.7452066666667,11455,"true","2019-09-25T17:54:15Z",-23.4978483333333,-46.7453866666667,,,,,,,,,,,,,,,
"8043-10",407,1,"LAPA","HAB. TURÍSTICA",1,11261,"true","2019-09-25T17:53:59Z",-23.5126466666667,-46.740165,,,,,,,,,,,,,,,,,,,,,,,,,
"8009-31",34028,2,"TERM. PIRITUBA","CID. D'ABRIL 3ª GLEBA",2,11314,"true","2019-09-25T17:54:02Z",-23.4984533333333,-46.7449633333333,11319,"true","2019-09-25T17:54:06Z",-23.497905,-46.745135,,,,,,,,,,,,,,,,,,,,
"8060-10",33186,2,"TERM. LAPA","VL. PIAUÍ",1,11618,"true","2019-09-25T17:46:01Z",-23.512475,-46.7400316666667,,,,,,,,,,,,,,,,,,,,,,,,,
"1896-10",2520,1,"PÇA. RAMOS DE AZEVEDO","JARAGUÁ",1,11383,"true","2019-09-25T17:45:44Z",-23.5131116666667,-46.7390616666667,,,,,,,,,,,,,,,,,,,,,,,,,
"199D-10",2135,1,"TERM. PINHEIROS","CONEXÃO VL. IÓRIO",1,11474,"true","2019-09-25T17:53:57Z",-23.4978916666667,-46.7457816666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8544-10",430,1,"PÇA. DO CORREIO","CID. D'ABRIL 3ª GLEBA",1,11393,"true","2019-09-25T17:54:01Z",-23.5127383333333,-46.7411416666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8002-10",1252,1,"TERM. LAPA","TERM. PIRITUBA",1,11290,"true","2019-09-25T17:54:33Z",-23.5127516666667,-46.738825,,,,,,,,,,,,,,,,,,,,,,,,,
"957T-10",464,1,"VILA OLÍMPIA","COHAB TAIPAS",2,11665,"true","2019-09-25T17:54:23Z",-23.5122333333333,-46.7389683333333,11671,"true","2019-09-25T17:54:29Z",-23.512195,-46.7391066666667,,,,,,,,,,,,,,,,,,,,
"8007-10",1257,1,"TERM. PIRITUBA","HAB. TURÍSTICA",1,11458,"true","2019-09-25T17:46:05Z",-23.4975483333333,-46.7453083333333,,,,,,,,,,,,,,,,,,,,,,,,,
"8100-10",1262,1,"TERM. LAPA","TERM. PIRITUBA",1,11900,"true","2019-09-25T17:45:50Z",-23.4984216666667,-46.7455316666667,,,,,,,,,,,,,,,,,,,,,,,,,
"938C-10",586,1,"TERM. PRINC. ISABEL","COHAB TAIPAS",1,11774,"true","2019-09-25T17:50:37Z",-23.512245,-46.7406066666667,,,,,,,,,,,,,,,,,,,,,,,,,
"1019-10",35263,2,"TERM. PIRITUBA","SOL NASCENTE",1,11299,"true","2019-09-25T17:45:52Z",-23.5121366666667,-46.7401066666667,,,,,,,,,,,,,,,,,,,,,,,,,
"978L-10",466,1,"TERM. PRINC. ISABEL","TERM. CACHOEIRINHA",1,11330,"true","2019-09-25T17:54:12Z",-23.5126783333333,-46.7392583333333,,,,,,,,,,,,,,,,,,,,,,,,,
"8200-10",1263,1,"TERM. LAPA","TERM. PIRITUBA",1,11892,"true","2019-09-25T17:45:59Z",-23.4983783333333,-46.7455866666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8047-10",408,1,"LAPA","JARAGUÁ",1,11246,"true","2019-09-25T17:54:27Z",-23.5128733333333,-46.7387616666667,,,,,,,,,,,,,,,,,,,,,,,,,
